2023-09-30 15:20:10,525.FoodA_consumer.INFO ==================================================
2023-09-30 15:20:10,525.FoodA_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:10,526.FoodA_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:10,526.FoodA_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:10,527.FoodA_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:10,527.FoodA_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:10,631.FoodA_consumer.INFO  [x] Received 05/22/21 14:08:35,52.9
2023-09-30 15:20:10,631.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,632.FoodA_consumer.INFO  [x] Received 05/22/21 14:08:40,52.9
2023-09-30 15:20:10,632.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,633.FoodA_consumer.INFO  [x] Received 05/22/21 14:08:45,No temperature
2023-09-30 15:20:10,633.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,634.FoodA_consumer.INFO  [x] Received 05/22/21 14:09:10,No temperature
2023-09-30 15:20:10,634.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,635.FoodA_consumer.INFO  [x] Received 05/22/21 14:09:15,No temperature
2023-09-30 15:20:10,635.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,636.FoodA_consumer.INFO  [x] Received 05/22/21 14:09:35,54.2
2023-09-30 15:20:10,637.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,638.FoodA_consumer.INFO  [x] Received 05/22/21 14:09:40,54.2
2023-09-30 15:20:10,638.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,639.FoodA_consumer.INFO  [x] Received 05/22/21 14:09:45,No temperature
2023-09-30 15:20:10,642.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,643.FoodA_consumer.INFO  [x] Received 05/22/21 14:10:10,No temperature
2023-09-30 15:20:10,644.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,644.FoodA_consumer.INFO  [x] Received 05/22/21 14:10:15,No temperature
2023-09-30 15:20:10,645.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,645.FoodA_consumer.INFO  [x] Received 05/22/21 14:10:35,55.6
2023-09-30 15:20:10,646.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,646.FoodA_consumer.INFO  [x] Received 05/22/21 14:10:40,55.6
2023-09-30 15:20:10,647.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,647.FoodA_consumer.INFO  [x] Received 05/22/21 14:10:45,No temperature
2023-09-30 15:20:10,648.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,648.FoodA_consumer.INFO  [x] Received 05/22/21 14:11:10,No temperature
2023-09-30 15:20:10,649.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,649.FoodA_consumer.INFO  [x] Received 05/22/21 14:11:15,No temperature
2023-09-30 15:20:10,650.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,650.FoodA_consumer.INFO  [x] Received 05/22/21 14:11:35,56.8
2023-09-30 15:20:10,651.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,651.FoodA_consumer.INFO  [x] Received 05/22/21 14:11:40,56.8
2023-09-30 15:20:10,652.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,652.FoodA_consumer.INFO  [x] Received 05/22/21 14:11:45,No temperature
2023-09-30 15:20:10,653.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,654.FoodA_consumer.INFO  [x] Received 05/22/21 14:12:10,No temperature
2023-09-30 15:20:10,654.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,658.FoodA_consumer.INFO  [x] Received 05/22/21 14:12:15,No temperature
2023-09-30 15:20:10,658.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,659.FoodA_consumer.INFO  [x] Received 05/22/21 14:12:35,58.2
2023-09-30 15:20:10,660.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,660.FoodA_consumer.INFO  [x] Received 05/22/21 14:12:40,58.2
2023-09-30 15:20:10,661.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,661.FoodA_consumer.INFO  [x] Received 05/22/21 14:12:45,No temperature
2023-09-30 15:20:10,662.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,662.FoodA_consumer.INFO  [x] Received 05/22/21 14:13:10,No temperature
2023-09-30 15:20:10,663.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,663.FoodA_consumer.INFO  [x] Received 05/22/21 14:13:15,No temperature
2023-09-30 15:20:10,663.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,664.FoodA_consumer.INFO  [x] Received 05/22/21 14:13:35,59.4
2023-09-30 15:20:10,665.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,665.FoodA_consumer.INFO  [x] Received 05/22/21 14:13:40,59.4
2023-09-30 15:20:10,665.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,666.FoodA_consumer.INFO  [x] Received 05/22/21 14:13:45,No temperature
2023-09-30 15:20:10,666.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,667.FoodA_consumer.INFO  [x] Received 05/22/21 14:14:10,No temperature
2023-09-30 15:20:10,667.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,668.FoodA_consumer.INFO  [x] Received 05/22/21 14:14:15,No temperature
2023-09-30 15:20:10,668.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,669.FoodA_consumer.INFO  [x] Received 05/22/21 14:14:35,60.7
2023-09-30 15:20:10,669.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,670.FoodA_consumer.INFO  [x] Received 05/22/21 14:14:40,60.7
2023-09-30 15:20:10,671.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,675.FoodA_consumer.INFO  [x] Received 05/22/21 14:14:45,No temperature
2023-09-30 15:20:10,675.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,676.FoodA_consumer.INFO  [x] Received 05/22/21 14:15:10,No temperature
2023-09-30 15:20:10,676.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,677.FoodA_consumer.INFO  [x] Received 05/22/21 14:15:15,No temperature
2023-09-30 15:20:10,677.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,678.FoodA_consumer.INFO  [x] Received 05/22/21 14:15:35,62.1
