2023-09-30 15:20:30,768.FoodB_consumer.INFO ==================================================
2023-09-30 15:20:30,768.FoodB_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:30,769.FoodB_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:30,769.FoodB_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:30,770.FoodB_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:30,771.FoodB_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:30,910.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,911.FoodB_consumer.INFO  [x] Received 05/22/21 14:16:40,51.2
2023-09-30 15:20:30,911.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,912.FoodB_consumer.INFO  [x] Received 05/22/21 14:16:45,51.2
2023-09-30 15:20:30,912.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,912.FoodB_consumer.INFO  [x] Received 05/22/21 14:17:10,No temperature
2023-09-30 15:20:30,913.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,913.FoodB_consumer.INFO  [x] Received 05/22/21 14:17:15,No temperature
2023-09-30 15:20:30,914.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,914.FoodB_consumer.INFO  [x] Received 05/22/21 14:17:35,No temperature
2023-09-30 15:20:30,915.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,915.FoodB_consumer.INFO  [x] Received 05/22/21 14:17:40,52.3
2023-09-30 15:20:30,916.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,916.FoodB_consumer.INFO  [x] Received 05/22/21 14:17:45,52.3
2023-09-30 15:20:30,917.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,917.FoodB_consumer.INFO  [x] Received 05/22/21 14:18:10,No temperature
2023-09-30 15:20:30,917.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,918.FoodB_consumer.INFO  [x] Received 05/22/21 14:18:15,No temperature
2023-09-30 15:20:30,918.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,919.FoodB_consumer.INFO  [x] Received 05/22/21 14:18:35,No temperature
2023-09-30 15:20:30,919.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,924.FoodB_consumer.INFO  [x] Received 05/22/21 14:18:40,53.3
2023-09-30 15:20:30,924.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,925.FoodB_consumer.INFO  [x] Received 05/22/21 14:18:45,53.3
2023-09-30 15:20:30,926.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,926.FoodB_consumer.INFO  [x] Received 05/22/21 14:19:10,No temperature
2023-09-30 15:20:30,927.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,928.FoodB_consumer.INFO  [x] Received 05/22/21 14:19:15,No temperature
2023-09-30 15:20:30,928.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,929.FoodB_consumer.INFO  [x] Received 05/22/21 14:19:35,No temperature
2023-09-30 15:20:30,929.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,930.FoodB_consumer.INFO  [x] Received 05/22/21 14:19:40,54.4
2023-09-30 15:20:30,930.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,931.FoodB_consumer.INFO  [x] Received 05/22/21 14:19:45,54.4
2023-09-30 15:20:30,931.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,932.FoodB_consumer.INFO  [x] Received 05/22/21 14:20:10,No temperature
2023-09-30 15:20:30,932.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,933.FoodB_consumer.INFO  [x] Received 05/22/21 14:20:15,No temperature
2023-09-30 15:20:30,933.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,934.FoodB_consumer.INFO  [x] Received 05/22/21 14:20:35,No temperature
2023-09-30 15:20:30,934.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,935.FoodB_consumer.INFO  [x] Received 05/22/21 14:20:40,55.6
2023-09-30 15:20:30,935.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,938.FoodB_consumer.INFO  [x] Received 05/22/21 14:20:45,55.6
2023-09-30 15:20:30,939.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,940.FoodB_consumer.INFO  [x] Received 05/22/21 14:21:10,No temperature
2023-09-30 15:20:30,941.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,942.FoodB_consumer.INFO  [x] Received 05/22/21 14:21:15,No temperature
2023-09-30 15:20:30,942.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,943.FoodB_consumer.INFO  [x] Received 05/22/21 14:21:35,No temperature
2023-09-30 15:20:30,943.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,944.FoodB_consumer.INFO  [x] Received 05/22/21 14:21:40,56.7
